sys_RespNum,d,MXD_1_b,MXD_1_w,MXD_2_b,MXD_2_w,MXD_3_b,MXD_3_w,MXD_4_b,MXD_4_w,MXD_5_b,MXD_5_w,MXD_6_b,MXD_6_w,MXD_7_b,MXD_7_w,MXD_8_b,MXD_8_w,MXD_9_b,MXD_9_w,MXD_10_b,MXD_10_w,MXD_11_b,MXD_11_w,MXD_12_b,MXD_12_w,MXD_13_b,MXD_13_w,MXD_14_b,MXD_14_w,MXD_15_b,MXD_15_w,MXD_16_b,MXD_16_w,MXD_17_b,MXD_17_w,MXD_18_b,MXD_18_w,sys_MXDDesignID_MXD,nKOP1,nKOP2,nKOP3,nKOP4,nKOP5,nKOP6,nKOP7,nKOP8,nKOP9,nKOP10,nKOP11,nKOP12,nKOP13,weegvar
1490,411112634,14,18,5,28,15,38,27,31,16,36,6,35,3,30,21,28,10,18,9,11,16,2,3,35,6,34,5,39,22,37,14,12,39,34,23,26,MXD1_1753104514_5,1,5,2,4,3,1,6,4,2,2,1,2,1,1.13259039335603
351,411112642,2,18,21,28,4,30,5,26,22,31,6,25,10,23,1,27,16,18,8,28,3,34,10,38,14,26,17,12,2,38,22,23,8,24,9,32,MXD1_1753104514_5,1,5,2,4,1,2,2,2,10,2,2,1,1,.686049367051532
1402,411112664,14,12,8,36,16,18,32,23,10,13,38,12,33,30,17,27,15,19,16,35,1,13,5,26,3,23,9,25,29,38,17,21,15,12,27,24,MXD1_1753104514_5,1,5,2,4,1,3,2,2,5,2,2,1,1,.686049367051532
958,411112667,20,26,19,13,3,38,2,39,6,36,24,31,4,21,22,13,10,35,5,12,3,28,1,26,10,25,17,35,8,29,5,13,2,36,10,12,MXD1_1753104514_5,2,5,2,3,5,2,1,3,11,1,2,1,2,.971967190580289
1706,411112671,3,29,8,33,7,26,10,12,16,13,1,28,9,29,40,25,3,26,7,11,8,13,5,24,10,23,36,12,6,27,16,19,5,38,15,18,MXD1_1753104514_5,2,5,2,5,3,3,4,3,9,2,2,2,2,.971967190580289
2046,411112680,9,11,15,8,14,23,16,30,40,28,4,29,10,37,39,35,15,24,19,23,2,28,5,32,10,40,14,37,6,34,16,29,27,26,4,19,MXD1_1753104514_5,2,5,2,5,1,3,4,3,3,2,2,1,2,.757315478001565
262,411112681,34,17,1,38,19,13,16,29,22,17,7,35,6,13,18,21,27,23,25,26,33,4,23,29,18,7,6,21,8,12,23,19,15,26,34,10,MXD1_1753104514_5,2,5,2,2,3,3,6,4,11,2,2,2,2,.971967190580289
1834,411112686,27,1,15,13,29,8,16,3,5,7,22,30,6,1,4,38,5,10,19,7,27,39,4,13,21,17,23,11,22,35,15,2,6,10,4,35,MXD1_1753104514_5,1,5,2,4,7,1,4,3,10,2,1,2,2,.88246624313761
2049,411112692,22,34,21,3,6,17,9,26,39,32,10,18,40,11,8,28,7,17,10,4,5,27,20,13,7,32,38,11,22,33,16,26,5,17,10,28,MXD1_1753104514_5,1,5,1,1,4,1,4,3,9,2,2,1,2,.88246624313761
1420,411112693,3,14,23,26,18,35,27,15,2,30,17,39,10,25,6,20,1,36,2,40,33,16,34,39,8,28,7,36,10,18,17,20,22,28,3,35,MXD1_1753104514_5,1,5,3,4,1,3,4,2,6,2,2,2,1,1.13259039335603
1674,411112694,30,26,32,23,9,29,13,35,2,25,32,18,39,26,16,8,3,1,40,28,9,18,16,25,23,35,12,20,11,29,13,25,16,18,3,24,MXD1_1753104514_5,1,5,1,2,2,3,4,4,10,2,2,1,1,.88246624313761
1727,411112697,9,30,10,31,33,18,8,27,6,14,16,26,9,7,3,28,17,15,6,20,36,13,33,32,8,20,9,12,2,34,32,29,38,23,10,26,MXD1_1753104514_5,2,5,1,2,3,1,5,2,5,2,2,1,1,.971967190580289
1813,411112703,2,17,1,33,4,28,20,34,16,26,15,25,5,24,38,19,6,31,5,35,10,18,1,32,2,34,14,26,22,37,23,28,16,36,15,18,MXD1_1753104514_5,1,5,2,5,4,1,4,3,5,2,2,2,1,.686049367051532
1977,411112710,6,26,15,35,3,13,40,27,5,19,14,25,2,7,6,30,21,28,14,35,2,38,15,25,10,23,6,11,24,19,16,37,34,31,9,20,MXD1_1753104514_5,1,5,1,5,2,3,6,2,5,2,2,1,2,.88246624313761
1551,411112717,25,29,6,28,19,34,5,26,40,31,6,7,14,12,27,29,16,11,5,28,21,34,10,7,14,26,36,30,15,37,22,20,24,18,16,15,MXD1_1753104514_5,2,5,2,4,5,99999997,6,2,5,2,2,1,1,.971967190580289
1723,411112726,6,15,4,38,1,13,19,29,2,16,17,38,5,27,3,26,8,15,6,14,9,23,19,24,2,38,5,11,3,28,10,13,2,19,33,26,MXD1_1753104514_5,2,5,3,2,2,1,6,3,10,2,2,2,2,1.13321125009949
1363,411112728,8,38,15,31,1,25,2,35,6,26,16,29,40,28,3,7,19,27,6,25,10,24,2,28,39,36,22,15,3,11,10,7,32,25,37,24,MXD1_1753104514_5,2,5,1,1,3,1,1,2,5,1,1,1,1,.971967190580289
1281,411112730,6,12,9,18,39,26,10,31,8,32,16,29,1,19,2,12,14,13,15,31,6,20,10,29,3,38,7,28,4,18,9,13,5,12,10,25,MXD1_1753104514_5,2,5,1,1,6,3,5,2,5,2,2,1,2,.971967190580289
364,411112736,40,14,18,25,10,29,2,13,22,26,6,24,9,14,18,35,3,12,40,13,22,20,8,11,6,28,19,26,15,24,5,11,2,17,8,12,MXD1_1753104514_5,1,5,3,2,5,3,5,2,8,2,2,1,2,1.32048096679005
142,411112737,5,29,4,26,16,30,10,33,35,11,8,24,6,39,5,12,9,26,21,30,16,24,8,19,6,17,3,31,2,18,15,19,23,26,5,24,MXD1_1753104514_5,2,5,2,1,5,4,4,2,9,2,2,2,2,.971967190580289
356,411112745,3,38,5,26,2,13,1,27,16,28,15,35,3,29,20,40,10,26,3,28,2,29,16,39,14,36,20,27,21,12,9,17,18,40,8,7,MXD1_1753104514_5,1,5,2,4,5,3,1,3,8,1,2,1,2,.88246624313761
1822,411112755,39,13,40,17,6,24,16,29,22,13,21,35,40,11,3,12,2,25,15,38,16,24,5,18,8,17,2,22,6,12,21,29,3,17,1,19,MXD1_1753104514_5,2,5,1,5,6,3,6,3,4,2,1,2,1,.757315478001565
1606,411112756,6,12,14,13,10,35,1,32,6,29,5,13,9,35,17,12,3,40,15,36,2,37,17,11,3,34,5,12,6,27,9,28,14,29,16,39,MXD1_1753104514_5,2,5,3,2,6,1,5,3,10,2,2,1,2,1.13321125009949
486,411112762,5,34,20,26,29,27,2,12,3,16,6,37,5,13,1,28,25,27,3,12,37,15,2,19,10,26,6,23,28,13,39,14,3,19,2,26,MXD1_1753104514_5,2,5,3,5,2,3,4,2,5,2,1,2,2,1.13321125009949
1594,411112764,3,14,2,16,1,12,33,29,22,17,27,14,21,15,6,28,10,26,1,17,27,23,5,12,37,34,2,28,22,13,3,18,10,38,9,24,MXD1_1753104514_5,2,5,1,5,8,1,4,2,5,2,2,1,2,.588754310299757
1321,411112766,8,29,10,7,3,37,25,17,15,13,31,26,27,33,10,9,40,17,24,37,15,12,25,26,2,28,32,29,16,35,9,37,19,29,16,26,MXD1_1753104514_5,2,5,1,2,3,2,6,3,7,2,2,2,2,.971967190580289
